Fecha,Último Precio (Bs),Monto Efectivo (Bs),Variación (%),Títulos Negociados
2025-11-27,63.79,1568025.36,-6,21343
2025-11-28,63.8,128086.53,1,2042
2025-12-01,65.95,111330.45,215,1698
2025-12-02,64.99,145474.82,-96,2326
2025-12-03,64.99,246937.8,0,3924
2025-12-04,64.0,61123.37,0,977
2025-12-06,64.5,244403.84,5,3786
2025-12-09,64.0,159840.0,0,2469
2025-12-10,65.0,133033.0,1,2146
2025-12-11,64.1,37156.86,1,556
2025-12-13,66.97,133825.9,-53,2101
2025-12-15,66.8,85753.19,-17,1283
2025-12-16,64.49,146707.26,-231,2263
2025-12-17,64.24,1004684.44,-25,16625
2025-12-18,67.98,553847.91,374,8478
2025-12-19,69.0,122763.45,102,1853
2025-12-22,68.0,70766.53,-1,1019
2025-12-23,67.97,49822.27,-3,733
2025-12-29,79.0,368946.0,403,4733
2025-12-30,87.0,147187.86,8,1695
2026-01-02,90.0,473020.0,3,5340
2026-01-06,155.1,43571.8,4715,316
2026-01-07,183.98,538349.1,2888,2928
