Nombre,Símbolo,Compra,Precio comp,Precio Vent,Venta,Precio,Apertura,Var %,Var Abs,Volumen,Efectivo,Operaciones,Máximo,Mínimo,Fecha
"ARCA INM.VAL.""B""",ARC.B,"97,00","480,00","620,00","18,00","620,00","480,00","29,17","140,00","85,00","52.280,00","2,00","620,00","480,00",2026-01-08
"ARCA INM.VAL.""B""",ARC.B,"63,00","600,00","0,00","0,00","620,00","620,00","0,00","0,00","20,00","12.360,00","2,00","620,00","600,00",2026-01-09
"ARCA INM.VAL.""B""",ARC.B,"61,00","620,00","0,00","0,00","620,00","620,00","0,00","0,00","10,00","6.200,00","2,00","620,00","620,00",2026-01-14
"ARCA INM.VAL.""B""",ARC.B,"321,00","620,00","0,00","0,00","620,00","620,00","0,00","0,00","3,00","1.860,00","1,00","620,00","620,00",2026-01-16
"ARCA INM.VAL.""B""",ARC.B,"90,00","620,00","0,00","0,00","620,00","620,00","0,00","0,00","12,00","7.440,00","5,00","620,00","620,00",2026-01-20
"ARCA INM.VAL.""B""",ARC.B,"105,00","650,00","0,00","0,00","620,00","620,00","0,00","0,00","34,00","22.100,00","5,00","650,00","650,00",2026-01-21
"ARCA INM.VAL.""B""",ARC.B,"56,00","620,00","0,00","0,00","620,00","620,00","0,00","0,00","1,00","620,00","1,00","620,00","620,00",2026-01-23
"ARCA INM.VAL.""B""",ARC.B,"50,00","336,01","0,00","0,00","620,00","620,00","0,00","0,00","3,00","1.850,00","2,00","620,00","615,00",2026-01-29
"ARCA INM.VAL.""B""",ARC.B,"3,00","620,00","0,00","0,00","620,00","620,00","0,00","0,00","10,00","6.200,00","3,00","620,00","620,00",2026-02-02
"ARCA INM.VAL.""B""",ARC.B,"0,00","0,00","0,00","0,00","620,00","620,00","0,00","0,00","3,00","1.860,00","3,00","620,00","620,00",2026-02-03
"ARCA INM.VAL.""B""",ARC.B,"0,00","0,00","670,00","1.379,00","620,00","620,00","0,00","0,00","43,00","28.810,00","7,00","670,00","670,00",2026-02-04
"ARCA INM.VAL.""B""",ARC.B,"161,00","608,00","650,00","1.379,00","620,00","620,00","0,00","0,00","30,00","18.600,00","5,00","620,00","620,00",2026-02-09
"ARCA INM.VAL.""B""",ARC.B,"15,00","498,00","650,00","1.350,00","620,00","620,00","0,00","0,00","34,00","22.100,00","8,00","650,00","650,00",2026-02-10
"ARCA INM.VAL.""B""",ARC.B,"11,00","600,00","650,00","1.327,00","620,00","620,00","0,00","0,00","18,00","11.700,00","9,00","650,00","650,00",2026-02-11
"ARCA INM.VAL.""B""",ARC.B,"0,00","0,00","650,00","1.282,00","620,00","620,00","0,00","0,00","50,00","32.500,00","4,00","650,00","650,00",2026-02-12
"ARCA INM.VAL.""B""",ARC.B,"1,00","615,00","650,00","1.197,00","620,00","620,00","0,00","0,00","88,00","57.200,00","9,00","650,00","650,00",2026-02-13
"ARCA INM.VAL.""B""",ARC.B,"3,00","620,00","0,00","0,00","620,00","620,00","0,00","0,00","9,00","5.560,00","3,00","620,00","610,00",2026-02-18
"ARCA INM.VAL.""B""",ARC.B,"91,00","596,00","650,00","1.185,00","620,00","620,00","0,00","0,00","20,00","10.552,00","4,00","650,00","497,00",2026-02-19
"ARCA INM.VAL.""B""",ARC.B,"73,00","645,00","650,00","1.141,00","620,00","620,00","0,00","0,00","44,00","28.600,00","10,00","650,00","650,00",2026-02-20
