Nombre,Símbolo,Compra,Precio comp,Precio Vent,Venta,Precio,Apertura,Var %,Var Abs,Volumen,Efectivo,Operaciones,Máximo,Mínimo,Fecha
BCO. PROVINCIAL,BPV,"364,00","195,00","197,50","370,00","195,00","165,00","18,18","30,00","40.876,00","7.855.302,25","272,00","197,60","189,75",2026-01-08
BCO. PROVINCIAL,BPV,"4.075,00","234,00","250,00","100,00","234,00","195,00","20,00","39,00","1.843,00","397.175,00","46,00","234,00","233,95",2026-01-09
BCO. PROVINCIAL,BPV,"1.198,00","197,50","218,00","8.949,00","218,00","234,00","-6,84","-16,00","36.961,00","8.206.833,30","210,00","234,10","218,00",2026-01-13
BCO. PROVINCIAL,BPV,"11.242,00","197,50","200,00","13.093,00","200,00","218,00","-8,26","-18,00","30.547,00","6.495.442,06","230,00","217,00","200,00",2026-01-14
BCO. PROVINCIAL,BPV,"90,00","150,00","180,00","130,00","180,00","200,00","-10,00","-20,00","450.454,00","89.481.606,93","87,00","200,00","180,00",2026-01-15
BCO. PROVINCIAL,BPV,"6,00","162,00","162,00","506,00","162,01","180,00","-9,99","-17,99","24.119,00","4.028.774,65","315,00","180,00","162,01",2026-01-16
BCO. PROVINCIAL,BPV,"107,00","145,81","145,81","70,00","145,85","162,01","-9,97","-16,16","22.759,00","3.338.172,21","379,00","161,50","145,85",2026-01-20
BCO. PROVINCIAL,BPV,"11.000,00","100,00","131,41","21.675,00","131,41","146,00","-9,99","-14,59","55.144,00","7.465.989,26","395,00","146,45","131,41",2026-01-21
BCO. PROVINCIAL,BPV,"13.111,00","118,00","118,28","13.955,00","118,28","131,41","-9,99","-13,13","83.886,00","10.020.972,24","274,00","132,00","118,28",2026-01-22
BCO. PROVINCIAL,BPV,"11.398,00","107,00","111,85","11.441,00","111,95","118,28","-5,35","-6,33","65.805,00","7.430.674,23","329,00","119,50","106,50",2026-01-23
