Nombre,Símbolo,Compra,Precio comp,Precio Vent,Venta,Precio,Apertura,Var %,Var Abs,Volumen,Efectivo,Operaciones,Máximo,Mínimo,Fecha
BOLSA V. CCAS.,BVCC,"809,00","577,85","589,95","926,00","584,00","577,85","1,06","6,15","21.745,00","12.705.033,86","251,00","600,00","495,00",2026-01-08
BOLSA V. CCAS.,BVCC,"88,00","703,00","0,00","0,00","703,00","584,00","20,38","119,00","5.946,00","3.531.955,00","88,00","703,00","595,00",2026-01-09
BOLSA V. CCAS.,BVCC,"782,00","703,00","719,00","3.894,00","710,00","703,00","1,00","7,00","53.562,00","40.879.191,29","157,00","770,00","703,00",2026-01-13
BOLSA V. CCAS.,BVCC,"344,00","680,00","699,99","26.451,00","700,00","710,00","-1,41","-10,00","8.410,00","6.191.061,02","121,00","750,00","699,99",2026-01-14
BOLSA V. CCAS.,BVCC,"21,00","649,99","649,99","60,00","663,50","700,00","-5,21","-36,50","3.312,00","2.235.659,00","46,00","700,00","640,00",2026-01-15
BOLSA V. CCAS.,BVCC,"206,00","570,00","576,03","3.892,00","576,05","640,00","-9,99","-63,95","2.671,00","1.567.742,63","172,00","649,99","576,03",2026-01-16
BOLSA V. CCAS.,BVCC,"60,00","518,45","518,45","40,00","519,00","576,05","-9,90","-57,05","1.941,00","1.045.309,51","123,00","560,00","518,46",2026-01-20
BOLSA V. CCAS.,BVCC,"6,00","468,00","468,00","500,00","468,03","520,00","-9,99","-51,97","3.643,00","1.749.445,74","71,00","520,00","468,03",2026-01-21
BOLSA V. CCAS.,BVCC,"7,00","421,27","421,27","2.984,00","421,28","468,03","-9,99","-46,75","16.495,00","6.954.131,86","100,00","435,00","421,28",2026-01-22
BOLSA V. CCAS.,BVCC,"192,00","380,00","385,00","1.254,00","380,00","421,33","-9,81","-41,33","57.065,00","22.063.386,81","171,00","421,27","379,50",2026-01-23
BOLSA V. CCAS.,BVCC,"362,00","345,00","363,00","3.703,00","349,00","380,00","-8,16","-31,00","24.151,00","8.357.317,00","168,00","411,50","342,15",2026-01-26
BOLSA V. CCAS.,BVCC,"2.130,00","316,00","350,00","5.206,00","349,00","349,00","0,00","0,00","69.121,00","23.644.993,95","152,00","364,50","315,00",2026-01-27
BOLSA V. CCAS.,BVCC,"57,00","316,00","337,00","4.497,00","315,00","349,00","-9,74","-34,00","98.790,00","32.766.045,95","129,00","349,00","315,00",2026-01-28
BOLSA V. CCAS.,BVCC,"7.468,00","344,00","364,50","3.149,00","343,80","315,00","9,14","28,80","457.503,00","145.105.423,80","121,00","344,50","290,00",2026-01-29
BOLSA V. CCAS.,BVCC,"735,00","378,16","380,00","1.950,00","378,05","343,80","9,96","34,25","15.987,00","6.000.430,35","69,00","378,10","350,00",2026-01-30
BOLSA V. CCAS.,BVCC,"5.310,00","415,58","420,00","826,00","415,00","378,05","9,77","36,95","20.312,00","8.331.582,48","84,00","415,01","378,06",2026-02-02
BOLSA V. CCAS.,BVCC,"3.015,00","500,10","502,00","635,00","502,00","415,00","20,96","87,00","18.676,00","8.539.280,74","136,00","502,00","420,00",2026-02-03
BOLSA V. CCAS.,BVCC,"1.775,00","606,00","710,00","1.299,00","606,00","502,00","20,72","104,00","18.513,00","10.617.083,50","104,00","607,40","505,00",2026-02-04
BOLSA V. CCAS.,BVCC,"4.507,00","610,00","666,90","3.295,00","666,90","606,00","10,05","60,90","19.244,00","12.773.869,10","128,00","667,00","608,00",2026-02-05
BOLSA V. CCAS.,BVCC,"10.132,00","665,00","669,00","2.788,00","650,00","666,90","-2,53","-16,90","30.240,00","20.805.859,55","157,00","720,00","607,00",2026-02-06
BOLSA V. CCAS.,BVCC,"14.965,00","535,00","619,66","6.591,00","619,75","650,00","-4,65","-30,25","4.893,00","2.990.058,60","156,00","699,00","535,00",2026-02-09
BOLSA V. CCAS.,BVCC,"12.573,00","510,00","545,00","2.949,00","548,00","619,75","-11,58","-71,75","4.892,00","2.645.474,00","125,00","615,00","500,00",2026-02-10
BOLSA V. CCAS.,BVCC,"11.311,00","502,00","535,00","2.084,00","502,00","548,00","-8,39","-46,00","8.811,00","4.681.512,36","96,00","558,50","500,00",2026-02-11
BOLSA V. CCAS.,BVCC,"9.324,00","525,00","537,00","7.369,00","537,00","502,00","6,97","35,00","2.644,00","1.388.744,15","100,00","558,50","505,00",2026-02-12
BOLSA V. CCAS.,BVCC,"1.829,00","555,00","580,00","4.342,00","550,00","537,00","2,42","13,00","2.476,00","1.432.326,15","116,00","620,00","500,00",2026-02-13
BOLSA V. CCAS.,BVCC,"5.226,00","600,00","620,00","2.494,00","600,00","550,00","9,09","50,00","14.118,00","8.547.068,50","147,00","650,00","550,00",2026-02-18
BOLSA V. CCAS.,BVCC,"3.305,00","635,00","680,00","14.158,00","635,00","600,00","5,83","35,00","17.714,00","10.926.373,87","131,00","715,00","585,00",2026-02-19
BOLSA V. CCAS.,BVCC,"7.631,00","650,00","718,00","16.857,00","699,99","635,00","10,23","64,99","59.697,00","31.657.161,24","132,00","718,00","645,00",2026-02-20
