Nombre,Símbolo,Compra,Precio comp,Precio Vent,Venta,Precio,Apertura,Var %,Var Abs,Volumen,Efectivo,Operaciones,Máximo,Mínimo,Fecha
"C.CAPITAL ""B""",CCP.B,"3.031,00","90,00","95,00","50,00","77,00","77,00","0,00","0,00","182,00","14.560,00","7,00","80,00","80,00",2026-01-08
"C.CAPITAL ""B""",CCP.B,"713,00","90,00","95,50","2.010,00","77,00","77,00","0,00","0,00","500,00","45.400,00","10,00","91,00","90,00",2026-01-09
"C.CAPITAL ""B""",CCP.B,"505,00","75,00","76,00","3.524,00","76,50","77,00","-0,65","-0,50","2.938,00","225.458,79","37,00","78,00","76,00",2026-01-13
"C.CAPITAL ""B""",CCP.B,"2.743,00","70,00","0,00","0,00","76,50","76,50","0,00","0,00","1.120,00","85.160,00","35,00","77,00","76,00",2026-01-14
"C.CAPITAL ""B""",CCP.B,"12.500,00","60,00","76,50","1.598,00","76,50","76,50","0,00","0,00","940,00","71.910,00","17,00","76,50","76,50",2026-01-15
"C.CAPITAL ""B""",CCP.B,"602,00","70,00","76,48","3.440,00","75,50","76,50","-1,31","-1,00","3.397,00","252.890,34","133,00","76,50","69,00",2026-01-16
"C.CAPITAL ""B""",CCP.B,"609,00","74,00","74,50","5.228,00","75,45","75,50","-0,07","-0,05","2.280,00","171.567,95","105,00","82,00","74,00",2026-01-20
"C.CAPITAL ""B""",CCP.B,"544,00","68,01","70,00","3.740,00","75,45","75,45","0,00","0,00","1.597,00","116.366,00","66,00","75,00","68,00",2026-01-21
"C.CAPITAL ""B""",CCP.B,"504,00","70,00","74,99","2.587,00","75,45","75,45","0,00","0,00","994,00","74.045,42","55,00","75,00","70,00",2026-01-22
"C.CAPITAL ""B""",CCP.B,"3.361,00","75,45","0,00","0,00","75,45","75,45","0,00","0,00","4.387,00","329.752,55","68,00","80,00","68,00",2026-01-23
"C.CAPITAL ""B""",CCP.B,"244,00","69,00","75,44","9.151,00","75,45","75,45","0,00","0,00","2.632,00","198.702,90","61,00","79,00","68,00",2026-01-26
"C.CAPITAL ""B""",CCP.B,"2.568,00","69,00","72,99","6.824,00","72,00","75,45","-4,57","-3,45","2.421,00","174.250,16","57,00","75,45","67,95",2026-01-27
"C.CAPITAL ""B""",CCP.B,"21,00","65,00","70,00","5.773,00","72,00","72,00","0,00","0,00","1.079,00","76.478,08","38,00","72,99","65,00",2026-01-28
"C.CAPITAL ""B""",CCP.B,"709,00","68,50","69,00","2.709,00","69,00","72,00","-4,17","-3,00","2.766,00","190.862,25","37,00","70,00","67,00",2026-01-29
