Nombre,Símbolo,Compra,Precio comp,Precio Vent,Venta,Precio,Apertura,Var %,Var Abs,Volumen,Efectivo,Operaciones,Máximo,Mínimo,Fecha
CR.CARABOBO,CCR,"46,00","6.000,00","6.550,00","2,00","6.000,00","5.100,00","17,65","900,00","13,00","78.000,00","5,00","6.000,00","6.000,00",2026-01-08
CR.CARABOBO,CCR,"9,00","6.750,00","7.200,00","1,00","7.200,00","6.000,00","20,00","1.200,00","11,00","79.150,00","2,00","7.200,00","7.195,00",2026-01-09
CR.CARABOBO,CCR,"24,00","6.000,00","7.919,50","1,00","7.200,00","7.200,00","0,00","0,00","80,00","576.000,01","7,00","7.200,01","7.200,00",2026-01-13
CR.CARABOBO,CCR,"20,00","2.450,00","7.400,00","49,00","7.200,00","7.200,00","0,00","0,00","16,00","114.395,00","5,00","7.400,00","7.000,00",2026-01-14
CR.CARABOBO,CCR,"20,00","2.450,00","7.399,00","110,00","7.200,00","7.200,00","0,00","0,00","2,00","14.400,00","1,00","7.200,00","7.200,00",2026-01-15
CR.CARABOBO,CCR,"20,00","2.450,00","7.198,50","77,00","7.198,00","7.200,00","-0,03","-2,00","22,00","158.300,47","13,00","7.200,00","7.180,00",2026-01-16
CR.CARABOBO,CCR,"20,00","2.450,00","7.000,00","134,00","7.198,00","7.198,00","0,00","0,00","9,00","63.894,96","6,00","7.099,99","7.099,00",2026-01-20
CR.CARABOBO,CCR,"20,00","2.450,00","6.850,00","118,00","7.198,00","7.198,00","0,00","0,00","2,00","13.750,00","2,00","6.900,00","6.850,00",2026-01-21
CR.CARABOBO,CCR,"20,00","2.450,00","6.899,00","197,00","7.198,00","7.198,00","0,00","0,00","5,00","34.496,00","4,00","6.900,00","6.899,00",2026-01-22
CR.CARABOBO,CCR,"0,00","0,00","7.049,00","71,00","7.198,00","7.198,00","0,00","0,00","6,00","40.484,00","5,00","7.198,00","6.479,00",2026-01-23
CR.CARABOBO,CCR,"3,00","6.479,00","6.999,00","57,00","7.198,00","7.198,00","0,00","0,00","4,00","28.394,00","2,00","7.198,00","6.999,00",2026-01-26
CR.CARABOBO,CCR,"3,00","6.200,00","6.700,00","247,00","6.790,00","7.198,00","-5,67","-408,00","23,00","155.047,00","7,00","6.799,00","6.478,50",2026-01-28
CR.CARABOBO,CCR,"11,00","6.450,00","6.690,00","105,00","6.790,00","6.790,00","0,00","0,00","3,00","20.070,00","2,00","6.690,00","6.690,00",2026-01-29
