Nombre,Símbolo,Compra,Precio comp,Precio Vent,Venta,Precio,Apertura,Var %,Var Abs,Volumen,Efectivo,Operaciones,Máximo,Mínimo,Fecha
CORP.GPO.QUIM.,CGQ,"45,00","1.000,00","1.025,90","573,00","1.025,90","855,00","19,99","170,90","87,00","88.607,60","20,00","1.025,90","900,00",2026-01-09
CORP.GPO.QUIM.,CGQ,"20,00","995,00","1.010,00","1.107,00","1.050,00","1.025,90","2,35","24,10","155,00","162.757,80","18,00","1.128,00","1.010,00",2026-01-13
CORP.GPO.QUIM.,CGQ,"20,00","1.000,00","1.050,00","1.098,00","1.050,00","1.050,00","0,00","0,00","184,00","190.778,00","15,00","1.154,00","1.010,00",2026-01-14
CORP.GPO.QUIM.,CGQ,"0,00","0,00","995,00","1.164,00","1.000,00","1.050,00","-4,76","-50,00","199,00","204.974,65","13,00","1.050,00","994,99",2026-01-15
CORP.GPO.QUIM.,CGQ,"0,00","0,00","902,00","1.097,00","1.000,00","1.000,00","0,00","0,00","144,00","137.783,85","15,00","995,00","901,00",2026-01-16
CORP.GPO.QUIM.,CGQ,"0,00","0,00","1.047,00","988,00","1.000,00","1.000,00","0,00","0,00","50,00","50.282,00","20,00","1.047,00","1.000,00",2026-01-20
CORP.GPO.QUIM.,CGQ,"0,00","0,00","999,99","577,00","999,98","1.000,00","0,00","-0,02","174,00","174.041,00","16,00","1.044,00","999,98",2026-01-21
CORP.GPO.QUIM.,CGQ,"0,00","0,00","988,00","567,00","999,98","999,98","0,00","0,00","86,00","86.105,40","13,00","1.050,00","900,00",2026-01-22
CORP.GPO.QUIM.,CGQ,"0,00","0,00","999,98","454,00","999,98","999,98","0,00","0,00","90,00","90.690,52","13,00","1.090,00","900,03",2026-01-23
CORP.GPO.QUIM.,CGQ,"0,00","0,00","900,00","562,00","999,98","999,98","0,00","0,00","31,00","29.689,82","10,00","999,98","900,00",2026-01-26
CORP.GPO.QUIM.,CGQ,"0,00","0,00","903,99","552,00","903,00","999,98","-9,70","-96,98","252,00","229.171,80","10,00","994,00","900,54",2026-01-27
CORP.GPO.QUIM.,CGQ,"32,00","815,54","895,00","2.359,00","903,00","903,00","0,00","0,00","122,00","107.794,07","9,00","903,00","825,54",2026-01-28
CORP.GPO.QUIM.,CGQ,"30,00","820,00","899,99","2.515,00","903,00","903,00","0,00","0,00","4.050,00","3.659.100,95","9,00","989,00","899,99",2026-01-29
