Nombre,Símbolo,Compra,Precio comp,Precio Vent,Venta,Precio,Apertura,Var %,Var Abs,Volumen,Efectivo,Operaciones,Máximo,Mínimo,Fecha
DOMINGUEZ & CIA,DOM,"194,00","379,00","449,00","1.020,00","384,00","379,00","1,32","5,00","1.177,00","519.578,00","9,00","450,00","384,00",2026-01-08
DOMINGUEZ & CIA,DOM,"673,00","450,00","550,00","50,00","450,00","384,00","17,19","66,00","4.167,00","1.873.774,80","46,00","460,77","417,00",2026-01-09
DOMINGUEZ & CIA,DOM,"3.195,00","450,00","480,00","1.796,00","480,00","450,00","6,67","30,00","1.034,00","475.790,00","15,00","480,00","450,00",2026-01-13
DOMINGUEZ & CIA,DOM,"275,00","470,00","480,00","5.067,00","480,00","480,00","0,00","0,00","406,00","198.080,00","24,00","520,00","480,00",2026-01-14
DOMINGUEZ & CIA,DOM,"5.180,00","400,00","470,00","7.812,00","480,00","480,00","0,00","0,00","157,00","74.209,78","10,00","480,00","470,00",2026-01-15
DOMINGUEZ & CIA,DOM,"180,00","110,00","440,00","9.664,00","440,00","480,00","-8,33","-40,00","511,00","226.039,77","21,00","459,99","440,00",2026-01-16
DOMINGUEZ & CIA,DOM,"180,00","110,00","400,00","5.333,00","440,00","440,00","0,00","0,00","118,00","50.233,95","20,00","430,00","400,00",2026-01-20
DOMINGUEZ & CIA,DOM,"10.180,00","300,00","404,95","6.080,00","440,00","440,00","0,00","0,00","229,00","94.375,67","13,00","425,00","400,00",2026-01-21
DOMINGUEZ & CIA,DOM,"180,00","110,00","400,00","10.371,00","400,00","440,00","-9,09","-40,00","458,00","183.386,00","17,00","423,00","396,00",2026-01-22
DOMINGUEZ & CIA,DOM,"5.000,00","300,00","388,99","10.168,00","400,00","400,00","0,00","0,00","220,00","85.807,27","12,00","399,95","388,99",2026-01-23
DOMINGUEZ & CIA,DOM,"1.248,00","365,00","389,00","8.766,00","400,00","400,00","0,00","0,00","17.650,00","6.469.600,95","29,00","439,00","365,00",2026-01-26
DOMINGUEZ & CIA,DOM,"1.388,00","365,00","398,00","9.415,00","400,00","400,00","0,00","0,00","325,00","122.684,47","15,00","424,99","365,00",2026-01-27
DOMINGUEZ & CIA,DOM,"940,00","361,00","385,00","7.086,00","385,00","400,00","-3,75","-15,00","6.963,00","2.640.395,29","20,00","399,99","361,00",2026-01-28
