Nombre,Símbolo,Compra,Precio comp,Precio Vent,Venta,Precio,Apertura,Var %,Var Abs,Volumen,Efectivo,Operaciones,Máximo,Mínimo,Fecha
PRODUCTOS EFE,EFE,"630,00","118,57","150,00","100,00","118,00","99,50","18,59","18,50","1.586,00","180.365,92","95,00","118,50","100,00",2026-01-08
PRODUCTOS EFE,EFE,"4.561,00","130,00","250,00","100,00","141,59","118,00","19,99","23,59","664,00","92.475,00","11,00","141,59","120,00",2026-01-09
PRODUCTOS EFE,EFE,"2.532,00","140,00","150,00","48.884,00","150,00","141,59","5,94","8,41","3.574,00","531.336,50","86,00","155,00","140,00",2026-01-13
PRODUCTOS EFE,EFE,"2.588,00","135,00","140,00","46.709,00","145,00","150,00","-3,33","-5,00","4.321,00","642.334,60","99,00","150,00","140,00",2026-01-14
PRODUCTOS EFE,EFE,"2.668,00","132,00","144,00","7.404,00","143,00","145,00","-1,38","-2,00","1.175,00","167.968,00","35,00","145,00","138,00",2026-01-15
PRODUCTOS EFE,EFE,"2.488,00","126,00","129,95","2.820,00","130,00","143,00","-9,09","-13,00","1.643,00","217.870,50","84,00","148,00","129,95",2026-01-16
PRODUCTOS EFE,EFE,"721,00","117,01","118,00","7.646,00","120,00","130,00","-7,69","-10,00","4.974,00","610.887,25","137,00","126,00","117,01",2026-01-20
PRODUCTOS EFE,EFE,"588,00","50,00","108,24","14.277,00","119,00","120,00","-0,83","-1,00","2.184,00","256.213,75","78,00","130,00","108,25",2026-01-21
PRODUCTOS EFE,EFE,"488,00","43,00","107,49","5.791,00","119,00","119,00","0,00","0,00","958,00","104.001,78","66,00","113,90","107,49",2026-01-22
PRODUCTOS EFE,EFE,"0,00","0,00","107,52","8.746,00","110,00","119,00","-7,56","-9,00","31.044,00","3.415.437,06","100,00","117,99","107,52",2026-01-23
