Nombre,Símbolo,Compra,Precio comp,Precio Vent,Venta,Precio,Apertura,Var %,Var Abs,Volumen,Efectivo,Operaciones,Máximo,Mínimo,Fecha
ENVASES VZLOS.,ENV,"683,00","400,01","0,00","0,00","360,00","360,00","0,00","0,00","48,00","19.200,28","6,00","400,01","400,00",2026-01-08
ENVASES VZLOS.,ENV,"25,00","439,00","490,00","926,00","490,00","360,00","36,11","130,00","334,00","150.357,50","5,00","490,00","410,00",2026-01-09
ENVASES VZLOS.,ENV,"322,00","480,00","490,00","2.807,00","490,00","490,00","0,00","0,00","338,00","165.110,00","23,00","500,00","480,00",2026-01-13
ENVASES VZLOS.,ENV,"242,00","480,00","495,00","4.183,00","500,00","490,00","2,04","10,00","744,00","370.035,00","16,00","500,00","490,00",2026-01-14
ENVASES VZLOS.,ENV,"5.100,00","400,00","490,00","4.167,00","500,00","500,00","0,00","0,00","856,00","420.484,00","14,00","500,00","490,00",2026-01-15
ENVASES VZLOS.,ENV,"100,00","270,00","499,00","6.076,00","500,00","500,00","0,00","0,00","309,00","154.105,00","19,00","500,00","485,00",2026-01-16
ENVASES VZLOS.,ENV,"100,00","270,00","485,00","3.944,00","495,00","500,00","-1,00","-5,00","434,00","214.270,00","29,00","500,00","485,00",2026-01-20
ENVASES VZLOS.,ENV,"112,00","470,00","475,00","4.518,00","470,00","495,00","-5,05","-25,00","693,00","328.577,15","15,00","495,00","470,00",2026-01-21
ENVASES VZLOS.,ENV,"100,00","270,00","455,00","2.838,00","464,95","470,00","-1,07","-5,05","7.000,00","3.000.932,73","11,00","470,00","460,00",2026-01-22
ENVASES VZLOS.,ENV,"13,00","418,54","430,00","2.729,00","430,00","464,95","-7,52","-34,95","5.200,00","2.236.625,98","24,00","450,00","418,54",2026-01-23
ENVASES VZLOS.,ENV,"0,00","0,00","387,54","3.461,00","430,00","430,00","0,00","0,00","911,00","355.574,62","24,00","430,00","387,50",2026-01-26
ENVASES VZLOS.,ENV,"52,00","420,00","425,00","1.993,00","430,00","430,00","0,00","0,00","3.744,00","1.515.303,50","25,00","430,00","420,00",2026-01-27
ENVASES VZLOS.,ENV,"16,00","388,00","420,00","2.974,00","388,00","430,00","-9,77","-42,00","10.734,00","4.203.704,07","28,00","430,00","387,99",2026-01-28
ENVASES VZLOS.,ENV,"740,00","390,00","400,00","2.729,00","400,00","388,00","3,09","12,00","1.626,00","638.652,00","15,00","420,00","388,00",2026-01-29
