Nombre,Símbolo,Compra,Precio comp,Precio Vent,Venta,Precio,Apertura,Var %,Var Abs,Volumen,Efectivo,Operaciones,Máximo,Mínimo,Fecha
F.NAC. VIDRIO,FNV,"2.000,00","80,00","0,00","0,00","70,60","0,01","705.900,00","70,59","250.000,00","17.650.000,00","86,00","70,60","70,60",2026-03-16
F.NAC. VIDRIO,FNV,"76,00","100,00","0,00","0,00","100,72","70,60","42,66","30,12","1.149,00","100.387,28","7,00","100,72","80,02",2026-03-17
F.NAC. VIDRIO,FNV,"922,00","210,00","210,00","1.000,00","175,00","70,60","147,88","104,40","12.925,00","2.081.254,10","71,00","175,00","84,72",2026-03-18
F.NAC. VIDRIO,FNV,"773,00","359,00","0,00","0,00","359,85","175,00","105,63","184,85","12.600,00","2.703.073,00","93,00","359,85","210,00",2026-03-20
F.NAC. VIDRIO,FNV,"389,00","428,22","460,00","1.144,00","460,00","359,85","27,83","100,15","8.456,00","3.834.808,92","265,00","460,00","428,00",2026-03-23
F.NAC. VIDRIO,FNV,"180,00","430,00","460,00","3.240,00","435,00","460,00","-5,43","-25,00","5.878,00","2.920.479,13","227,00","540,00","435,00",2026-03-24
F.NAC. VIDRIO,FNV,"277,00","380,00","434,00","4.798,00","390,00","435,00","-10,34","-45,00","1.199,00","480.300,15","83,00","460,00","372,60",2026-03-25
F.NAC. VIDRIO,FNV,"25,00","380,00","430,00","4.618,00","390,00","390,00","0,00","0,00","1.350,00","548.306,42","84,00","433,99","379,00",2026-03-26
F.NAC. VIDRIO,FNV,"13,00","328,00","395,00","3.566,00","316,00","390,00","-18,97","-74,00","769,00","283.549,84","63,00","429,00","316,00",2026-03-27
F.NAC. VIDRIO,FNV,"490,00","320,00","360,00","2.718,00","350,00","316,00","10,76","34,00","501,00","175.917,51","62,00","370,00","316,00",2026-03-30
F.NAC. VIDRIO,FNV,"391,00","316,00","350,00","2.289,00","349,99","350,00","0,00","-0,01","990,00","352.444,90","65,00","390,00","300,00",2026-03-31
F.NAC. VIDRIO,FNV,"133,00","349,00","399,99","4.037,00","350,00","349,99","0,00","0,01","658,00","236.941,27","48,00","399,99","348,99",2026-04-01
F.NAC. VIDRIO,FNV,"33,00","340,00","399,00","3.817,00","360,00","350,00","2,86","10,00","3.750,00","1.416.370,53","63,00","400,00","350,00",2026-04-06
F.NAC. VIDRIO,FNV,"2.000,00","200,00","360,00","3.021,00","360,00","360,00","0,00","0,00","226,00","86.001,00","29,00","399,00","350,00",2026-04-07
F.NAC. VIDRIO,FNV,"100,00","260,00","300,00","2.803,00","360,00","360,00","0,00","0,00","349,00","120.749,44","23,00","398,99","291,00",2026-04-08
