Nombre,Símbolo,Compra,Precio comp,Precio Vent,Venta,Precio,Apertura,Var %,Var Abs,Volumen,Efectivo,Operaciones,Máximo,Mínimo,Fecha
G.MANTRA CLASE B,GMC.B,"22,00","4.200,00","0,00","0,00","4.000,00","4.000,00","0,00","0,00","1,00","4.200,00","1,00","4.200,00","4.200,00",2026-01-08
G.MANTRA CLASE B,GMC.B,"0,00","0,00","4.250,00","129,00","4.000,00","4.000,00","0,00","0,00","21,00","89.250,00","2,00","4.250,00","4.250,00",2026-01-13
G.MANTRA CLASE B,GMC.B,"7,00","4.250,00","0,00","0,00","4.250,00","4.000,00","6,25","250,00","129,00","548.250,00","8,00","4.250,00","4.250,00",2026-01-14
G.MANTRA CLASE B,GMC.B,"100,00","3.800,00","4.250,00","148,00","4.250,00","4.250,00","0,00","0,00","5,00","21.175,00","2,00","4.250,00","4.225,00",2026-01-15
G.MANTRA CLASE B,GMC.B,"0,00","0,00","4.250,00","148,00","4.250,00","4.250,00","0,00","0,00","3,00","11.700,00","1,00","3.900,00","3.900,00",2026-01-16
G.MANTRA CLASE B,GMC.B,"1,00","4.249,99","4.250,00","144,00","4.250,00","4.250,00","0,00","0,00","4,00","17.000,00","1,00","4.250,00","4.250,00",2026-01-20
G.MANTRA CLASE B,GMC.B,"0,00","0,00","4.200,00","147,00","4.250,00","4.250,00","0,00","0,00","47,00","180.950,00","1,00","0,00","0,00",2026-01-21
G.MANTRA CLASE B,GMC.B,"4,00","3.825,50","4.250,00","146,00","4.250,00","4.250,00","0,00","0,00","10,00","41.875,50","4,00","4.250,00","3.825,50",2026-01-22
G.MANTRA CLASE B,GMC.B,"5,00","3.830,00","4.150,00","150,00","4.250,00","4.250,00","0,00","0,00","4,00","16.600,00","3,00","4.150,00","4.150,00",2026-01-23
G.MANTRA CLASE B,GMC.B,"4,00","3.850,00","4.250,00","140,00","4.250,00","4.250,00","0,00","0,00","10,00","41.500,00","6,00","4.250,00","3.850,00",2026-01-26
G.MANTRA CLASE B,GMC.B,"3,00","3.830,00","4.245,00","142,00","4.250,00","4.250,00","0,00","0,00","10,00","38.300,00","1,00","0,00","0,00",2026-01-27
G.MANTRA CLASE B,GMC.B,"35,00","3.850,00","4.250,00","115,00","4.250,00","4.250,00","0,00","0,00","25,00","106.250,00","5,00","4.250,00","4.250,00",2026-01-28
G.MANTRA CLASE B,GMC.B,"0,00","0,00","4.250,00","114,00","4.250,00","4.250,00","0,00","0,00","1,00","4.250,00","1,00","4.250,00","4.250,00",2026-01-29
