Nombre,Símbolo,Compra,Precio comp,Precio Vent,Venta,Precio,Apertura,Var %,Var Abs,Volumen,Efectivo,Operaciones,Máximo,Mínimo,Fecha
GRUPO ZULIANO,GZL,"383,00","301,00","400,00","50,00","300,00","301,00","-0,33","-1,00","1.704,00","581.580,00","7,00","360,00","300,00",2026-01-08
GRUPO ZULIANO,GZL,"230,00","359,95","360,00","54,00","360,00","300,00","20,00","60,00","39,00","14.039,00","4,00","360,00","359,95",2026-01-09
GRUPO ZULIANO,GZL,"200,00","125,20","360,00","2.130,00","360,00","360,00","0,00","0,00","1.019,00","366.590,00","24,00","361,00","350,00",2026-01-13
GRUPO ZULIANO,GZL,"255,00","243,00","357,50","1.862,00","350,00","360,00","-2,78","-10,00","771,00","273.345,00","18,00","360,00","350,00",2026-01-14
GRUPO ZULIANO,GZL,"200,00","125,20","355,00","1.443,00","355,00","350,00","1,43","5,00","790,00","280.718,50","15,00","360,00","350,00",2026-01-15
GRUPO ZULIANO,GZL,"206,00","325,00","349,00","1.325,00","349,00","355,00","-1,69","-6,00","846,00","294.737,00","33,00","355,00","320,00",2026-01-16
GRUPO ZULIANO,GZL,"267,00","335,00","349,00","801,00","349,00","349,00","0,00","0,00","269,00","93.639,00","19,00","350,00","335,00",2026-01-20
GRUPO ZULIANO,GZL,"425,00","335,00","345,50","997,00","349,00","349,00","0,00","0,00","158,00","54.470,50","12,00","347,00","329,00",2026-01-21
GRUPO ZULIANO,GZL,"200,00","125,20","345,50","900,00","314,20","349,00","-9,97","-34,80","866,00","283.507,22","16,00","346,75","314,20",2026-01-22
GRUPO ZULIANO,GZL,"0,00","0,00","290,00","1.480,00","314,20","314,20","0,00","0,00","427,00","128.123,19","13,00","313,90","283,00",2026-01-23
