Nombre,Símbolo,Compra,Precio comp,Precio Vent,Venta,Precio,Apertura,Var %,Var Abs,Volumen,Efectivo,Operaciones,Máximo,Mínimo,Fecha
I.CRECEPYMES -B-,ICP.B,"1.500,00","14,10","28,50","272,00","28,50","24,99","14,05","3,51","4.946,00","140.198,00","28,00","28,50","25,00",2026-01-08
I.CRECEPYMES -B-,ICP.B,"814,00","34,19","37,00","500,00","34,19","28,50","19,96","5,69","9.000,00","295.615,00","45,00","34,19","31,99",2026-01-09
I.CRECEPYMES -B-,ICP.B,"1.666,00","34,19","37,50","8.646,00","34,19","34,19","0,00","0,00","2.013,00","74.139,20","14,00","37,50","34,19",2026-01-13
I.CRECEPYMES -B-,ICP.B,"1.590,00","34,19","37,50","6.107,00","34,19","34,19","0,00","0,00","2.889,00","108.337,50","25,00","37,50","37,50",2026-01-14
I.CRECEPYMES -B-,ICP.B,"1.500,00","14,10","34,50","8.847,00","34,19","34,19","0,00","0,00","280,00","9.569,03","10,00","35,00","34,00",2026-01-15
I.CRECEPYMES -B-,ICP.B,"1.543,00","34,19","35,99","7.211,00","34,19","34,19","0,00","0,00","2.634,00","89.846,92","48,00","36,00","32,00",2026-01-16
I.CRECEPYMES -B-,ICP.B,"2.121,00","35,00","37,49","11.255,00","34,19","34,19","0,00","0,00","1.941,00","66.689,55","53,00","37,50","32,00",2026-01-20
I.CRECEPYMES -B-,ICP.B,"2.500,00","15,00","34,19","27.207,00","34,19","34,19","0,00","0,00","812,00","28.572,35","34,00","37,49","33,00",2026-01-21
I.CRECEPYMES -B-,ICP.B,"1.500,00","14,10","31,99","12.257,00","34,19","34,19","0,00","0,00","2.120,00","72.214,47","37,00","35,99","31,99",2026-01-22
I.CRECEPYMES -B-,ICP.B,"0,00","0,00","33,86","4.342,00","33,86","34,19","-0,97","-0,33","9.287,00","314.669,06","50,00","35,00","33,86",2026-01-23
I.CRECEPYMES -B-,ICP.B,"0,00","0,00","31,47","8.927,00","33,86","33,86","0,00","0,00","1.578,00","50.565,33","37,00","34,19","31,47",2026-01-26
I.CRECEPYMES -B-,ICP.B,"100,00","30,48","33,79","2.480,00","33,86","33,86","0,00","0,00","3.979,00","134.837,03","28,00","34,99","30,52",2026-01-27
I.CRECEPYMES -B-,ICP.B,"437,00","33,50","33,86","5.714,00","33,86","33,86","0,00","0,00","1.038,00","35.052,36","34,00","33,86","31,70",2026-01-28
I.CRECEPYMES -B-,ICP.B,"410,00","32,00","33,50","8.680,00","33,86","33,86","0,00","0,00","1.581,00","53.699,36","29,00","36,00","32,00",2026-01-29
