Nombre,Símbolo,Compra,Precio comp,Precio Vent,Venta,Precio,Apertura,Var %,Var Abs,Volumen,Efectivo,Operaciones,Máximo,Mínimo,Fecha
"IMPULSA V.C. ""B""",IMP.B,"0,00","0,00","0,00","0,00","2.100,00","2.100,00","0,00","0,00","60,00","138.540,00","1,00","2.309,00","2.309,00",2026-01-15
"IMPULSA V.C. ""B""",IMP.B,"0,00","0,00","0,00","0,00","2.100,00","2.100,00","0,00","0,00","20,00","42.000,00","1,00","2.100,00","2.100,00",2026-01-20
"IMPULSA V.C. ""B""",IMP.B,"0,00","0,00","0,00","0,00","2.100,00","2.100,00","0,00","0,00","25,00","52.500,00","1,00","2.100,00","2.100,00",2026-01-21
"IMPULSA V.C. ""B""",IMP.B,"0,00","0,00","0,00","0,00","2.100,00","2.100,00","0,00","0,00","45,00","94.500,00","1,00","2.100,00","2.100,00",2026-01-27
"IMPULSA V.C. ""B""",IMP.B,"0,00","0,00","0,00","0,00","2.100,00","2.100,00","0,00","0,00","25,00","55.000,00","1,00","2.200,00","2.200,00",2026-01-28
"IMPULSA V.C. ""B""",IMP.B,"0,00","0,00","0,00","0,00","2.100,00","2.100,00","0,00","0,00","20,00","41.800,00","1,00","2.090,00","2.090,00",2026-01-29
"IMPULSA V.C. ""B""",IMP.B,"0,00","0,00","0,00","0,00","2.100,00","2.100,00","0,00","0,00","45,00","94.500,00","1,00","2.100,00","2.100,00",2026-02-11
"IMPULSA V.C. ""B""",IMP.B,"0,00","0,00","0,00","0,00","2.100,00","2.100,00","0,00","0,00","20,00","42.000,00","1,00","2.100,00","2.100,00",2026-02-12
"IMPULSA V.C. ""B""",IMP.B,"1,00","2.100,00","0,00","0,00","2.100,00","2.100,00","0,00","0,00","20,00","42.000,20","1,00","2.100,01","2.100,01",2026-03-12
"IMPULSA V.C. ""B""",IMP.B,"0,00","0,00","0,00","0,00","2.100,00","2.100,00","0,00","0,00","40,00","86.320,00","1,00","2.158,00","2.158,00",2026-03-13
"IMPULSA V.C. ""B""",IMP.B,"0,00","0,00","0,00","0,00","2.100,00","2.100,00","0,00","0,00","40,00","88.000,00","1,00","2.200,00","2.200,00",2026-03-18
"IMPULSA V.C. ""B""",IMP.B,"1,00","2.100,00","0,00","0,00","2.100,00","2.100,00","0,00","0,00","43,00","97.180,00","1,00","2.260,00","2.260,00",2026-03-20
"IMPULSA V.C. ""B""",IMP.B,"0,00","0,00","0,00","0,00","2.100,00","2.100,00","0,00","0,00","43,00","94.600,00","1,00","2.200,00","2.200,00",2026-03-24
"IMPULSA V.C. ""B""",IMP.B,"7,00","2.100,00","0,00","0,00","2.100,00","2.100,00","0,00","0,00","50,00","110.000,00","1,00","2.200,00","2.200,00",2026-04-07
"IMPULSA V.C. ""B""",IMP.B,"7,00","2.100,00","0,00","0,00","2.100,00","2.100,00","0,00","0,00","50,00","125.000,00","1,00","2.500,00","2.500,00",2026-04-09
"IMPULSA V.C. ""B""",IMP.B,"10,00","2.500,00","0,00","0,00","2.500,03","2.100,00","19,05","400,03","60,00","150.001,80","1,00","2.500,03","2.500,03",2026-04-10
"IMPULSA V.C. ""B""",IMP.B,"16,00","2.501,00","0,00","0,00","2.510,00","2.500,03","0,40","9,97","60,00","150.600,00","1,00","2.510,00","2.510,00",2026-04-13
