Nombre,Símbolo,Compra,Precio comp,Precio Vent,Venta,Precio,Apertura,Var %,Var Abs,Volumen,Efectivo,Operaciones,Máximo,Mínimo,Fecha
"INVACA I. C. ""A""",IVC.A,"20,00","500,00","720,00","997,00","720,00","600,00","20,00","120,00","3,00","2.160,00","1,00","720,00","720,00",2026-01-08
"INVACA I. C. ""A""",IVC.A,"168,00","864,00","950,00","50,00","863,00","720,00","19,86","143,00","250,00","215.750,00","1,00","863,00","863,00",2026-01-09
"INVACA I. C. ""A""",IVC.A,"110,00","850,00","863,00","441,00","863,00","863,00","0,00","0,00","220,00","189.860,00","8,00","863,00","863,00",2026-01-13
"INVACA I. C. ""A""",IVC.A,"110,00","860,00","910,00","111,00","863,00","863,00","0,00","0,00","5,00","4.300,00","1,00","860,00","860,00",2026-01-14
"INVACA I. C. ""A""",IVC.A,"100,00","320,00","850,00","237,00","863,00","863,00","0,00","0,00","24,00","20.712,00","3,00","863,00","863,00",2026-01-15
"INVACA I. C. ""A""",IVC.A,"100,00","320,00","840,00","312,00","863,00","863,00","0,00","0,00","25,00","20.530,00","7,00","860,00","777,00",2026-01-16
"INVACA I. C. ""A""",IVC.A,"103,00","780,00","800,00","247,00","863,00","863,00","0,00","0,00","23,00","18.535,00","5,00","815,00","800,00",2026-01-20
"INVACA I. C. ""A""",IVC.A,"101,00","777,00","780,00","107,00","863,00","863,00","0,00","0,00","11,00","8.780,00","4,00","805,00","780,00",2026-01-21
"INVACA I. C. ""A""",IVC.A,"100,00","320,00","840,00","887,00","863,00","863,00","0,00","0,00","75,00","63.854,00","9,00","860,00","780,00",2026-01-22
"INVACA I. C. ""A""",IVC.A,"0,00","0,00","800,00","251,00","863,00","863,00","0,00","0,00","36,00","30.352,00","7,00","863,00","800,00",2026-01-23
"INVACA I. C. ""A""",IVC.A,"0,00","0,00","780,00","686,00","863,00","863,00","0,00","0,00","188,00","147.080,00","7,00","800,00","780,00",2026-01-27
"INVACA I. C. ""A""",IVC.A,"0,00","0,00","800,00","633,00","863,00","863,00","0,00","0,00","35,00","28.000,00","3,00","800,00","800,00",2026-01-28
"INVACA I. C. ""A""",IVC.A,"2,00","780,00","798,00","847,00","863,00","863,00","0,00","0,00","23,00","18.398,00","5,00","800,00","798,00",2026-01-29
"INVACA I. C. ""A""",IVC.A,"0,00","0,00","777,00","847,00","863,00","863,00","0,00","0,00","141,00","109.782,00","7,00","798,00","777,00",2026-01-30
"INVACA I. C. ""A""",IVC.A,"12,00","798,00","940,00","184,00","863,00","863,00","0,00","0,00","159,00","126.882,00","9,00","798,00","798,00",2026-02-02
"INVACA I. C. ""A""",IVC.A,"17,00","863,00","940,00","269,00","940,00","863,00","8,92","77,00","509,00","478.460,00","6,00","940,00","940,00",2026-02-03
"INVACA I. C. ""A""",IVC.A,"51,00","940,00","1.030,00","174,00","940,00","940,00","0,00","0,00","122,00","125.380,00","8,00","1.030,00","940,00",2026-02-04
"INVACA I. C. ""A""",IVC.A,"57,00","950,00","1.025,00","1.725,00","940,00","940,00","0,00","0,00","169,00","167.796,00","10,00","1.030,00","1.025,00",2026-02-05
"INVACA I. C. ""A""",IVC.A,"2,00","845,00","1.031,00","188,00","1.030,00","940,00","9,57","90,00","608,00","626.122,00","12,00","1.031,00","950,00",2026-02-06
"INVACA I. C. ""A""",IVC.A,"20,00","826,00","1.049,49","1.217,00","1.030,00","1.030,00","0,00","0,00","47,00","49.363,06","12,00","1.120,00","845,00",2026-02-09
"INVACA I. C. ""A""",IVC.A,"10,00","826,00","1.150,00","316,00","1.030,00","1.030,00","0,00","0,00","55,00","52.900,00","10,00","1.150,00","826,00",2026-02-10
"INVACA I. C. ""A""",IVC.A,"2,00","930,00","1.100,00","676,00","1.030,00","1.030,00","0,00","0,00","35,00","37.950,00","9,00","1.200,00","1.030,00",2026-02-11
"INVACA I. C. ""A""",IVC.A,"222,00","851,00","1.099,00","1.355,00","1.030,00","1.030,00","0,00","0,00","129,00","116.723,00","8,00","1.100,00","825,00",2026-02-12
"INVACA I. C. ""A""",IVC.A,"352,00","930,00","1.080,00","1.255,00","1.030,00","1.030,00","0,00","0,00","116,00","127.093,00","8,00","1.100,00","1.080,00",2026-02-13
"INVACA I. C. ""A""",IVC.A,"267,00","900,00","1.030,00","1.111,00","1.030,00","1.030,00","0,00","0,00","68,00","60.603,00","12,00","1.099,00","825,00",2026-02-18
"INVACA I. C. ""A""",IVC.A,"281,00","860,00","1.029,99","1.607,00","1.030,00","1.030,00","0,00","0,00","23,00","23.689,92","5,00","1.030,00","1.029,99",2026-02-19
"INVACA I. C. ""A""",IVC.A,"40,00","827,00","1.010,00","1.725,00","1.029,00","1.030,00","-0,10","-1,00","177,00","175.911,93","10,00","1.029,99","825,00",2026-02-20
