Nombre,Símbolo,Compra,Precio comp,Precio Vent,Venta,Precio,Apertura,Var %,Var Abs,Volumen,Efectivo,Operaciones,Máximo,Mínimo,Fecha
"INVACA I. C. ""B""",IVC.B,"1.018,00","390,00","461,00","1.050,00","390,00","385,00","1,30","5,00","2.383,00","929.370,00","12,00","390,00","390,00",2026-01-08
"INVACA I. C. ""B""",IVC.B,"40,00","452,01","700,00","50,00","468,00","390,00","20,00","78,00","700,00","327.575,00","2,00","468,00","467,95",2026-01-09
"INVACA I. C. ""B""",IVC.B,"625,00","421,50","467,95","563,00","468,00","468,00","0,00","0,00","554,00","258.055,30","11,00","468,00","421,50",2026-01-13
"INVACA I. C. ""B""",IVC.B,"300,00","161,00","480,00","2.770,00","480,00","468,00","2,56","12,00","772,00","368.483,87","13,00","510,00","468,00",2026-01-14
"INVACA I. C. ""B""",IVC.B,"307,00","509,00","510,00","450,00","440,00","480,00","-8,33","-40,00","2.320,00","1.026.349,00","11,00","509,00","440,00",2026-01-15
"INVACA I. C. ""B""",IVC.B,"700,00","390,00","397,00","2.187,00","440,00","440,00","0,00","0,00","101,00","41.018,00","11,00","440,00","397,00",2026-01-16
"INVACA I. C. ""B""",IVC.B,"715,00","397,00","405,00","4.859,00","440,00","440,00","0,00","0,00","244,00","101.670,00","15,00","425,00","397,00",2026-01-20
"INVACA I. C. ""B""",IVC.B,"200,00","390,00","410,00","527,00","396,01","440,00","-10,00","-43,99","1.073,00","424.958,73","6,00","396,05","396,01",2026-01-21
"INVACA I. C. ""B""",IVC.B,"500,00","300,00","380,00","4.049,00","357,00","396,01","-9,85","-39,01","7.392,00","2.643.967,36","15,00","396,00","357,00",2026-01-22
"INVACA I. C. ""B""",IVC.B,"210,00","321,50","349,00","3.614,00","357,00","357,00","0,00","0,00","70,00","24.753,30","8,00","357,00","349,90",2026-01-23
"INVACA I. C. ""B""",IVC.B,"10,00","321,50","346,50","3.449,00","357,00","357,00","0,00","0,00","63,00","21.867,80","6,00","357,00","346,50",2026-01-26
"INVACA I. C. ""B""",IVC.B,"30,00","321,54","344,50","4.716,00","357,00","357,00","0,00","0,00","668,00","226.680,00","11,00","347,00","330,00",2026-01-27
"INVACA I. C. ""B""",IVC.B,"20,00","321,54","345,00","2.482,00","357,00","357,00","0,00","0,00","319,00","110.458,20","6,00","346,80","345,00",2026-01-28
"INVACA I. C. ""B""",IVC.B,"0,00","0,00","344,40","3.678,00","344,40","357,00","-3,53","-12,60","524,00","179.698,70","12,00","345,00","340,00",2026-01-29
