Nombre,Símbolo,Compra,Precio comp,Precio Vent,Venta,Precio,Apertura,Var %,Var Abs,Volumen,Efectivo,Operaciones,Máximo,Mínimo,Fecha
"MANPA, C.A. SACA",MPA,"1.468,00","47,00","50,00","1.075,00","47,00","48,80","-3,69","-1,80","16.178,00","853.901,20","107,00","58,50","45,00",2026-01-08
"MANPA, C.A. SACA",MPA,"1.215,00","56,40","70,00","100,00","56,40","47,00","20,00","9,40","321,00","17.865,00","4,00","56,40","55,00",2026-01-09
"MANPA, C.A. SACA",MPA,"2.000,00","50,80","55,00","17.003,00","56,00","56,40","-0,71","-0,40","7.160,00","404.416,92","72,00","60,00","55,00",2026-01-13
"MANPA, C.A. SACA",MPA,"1.095,00","53,00","54,88","20.126,00","55,00","56,00","-1,79","-1,00","8.053,00","443.200,20","82,00","57,00","53,00",2026-01-14
"MANPA, C.A. SACA",MPA,"6.056,00","50,00","50,50","33.932,00","53,00","55,00","-3,64","-2,00","3.153,00","168.730,01","24,00","56,00","50,50",2026-01-15
"MANPA, C.A. SACA",MPA,"1.000,00","22,20","47,88","29.985,00","47,88","53,00","-9,66","-5,12","9.721,00","467.221,59","84,00","53,80","47,71",2026-01-16
"MANPA, C.A. SACA",MPA,"2.099,00","44,85","44,95","29.867,00","45,00","47,88","-6,02","-2,88","7.562,00","347.363,50","118,00","47,88","44,85",2026-01-20
"MANPA, C.A. SACA",MPA,"2.052,00","40,50","41,99","32.991,00","45,00","45,00","0,00","0,00","2.942,00","131.332,38","81,00","49,00","41,99",2026-01-21
"MANPA, C.A. SACA",MPA,"2.007,00","40,50","42,00","172.528,00","45,00","45,00","0,00","0,00","3.356,00","150.762,22","52,00","45,00","42,00",2026-01-22
"MANPA, C.A. SACA",MPA,"24,00","40,54","44,90","150.368,00","40,55","45,00","-9,89","-4,45","81.814,00","3.337.134,11","119,00","45,00","40,54",2026-01-23
"MANPA, C.A. SACA",MPA,"2.253,00","36,90","39,99","30.934,00","39,00","40,55","-3,82","-1,55","85.389,00","3.332.449,02","81,00","43,00","36,60",2026-01-26
"MANPA, C.A. SACA",MPA,"916,00","39,00","43,00","1.625,00","39,50","39,00","1,28","0,50","805.878,00","31.858.292,09","85,00","42,00","37,00",2026-01-27
"MANPA, C.A. SACA",MPA,"2.449,00","39,50","43,00","389,00","39,50","39,50","0,00","0,00","2.612,00","107.034,05","71,00","43,00","38,99",2026-01-28
"MANPA, C.A. SACA",MPA,"46,00","43,45","43,45","305,00","43,00","39,50","8,86","3,50","50.688,00","2.179.118,50","95,00","43,00","39,50",2026-01-29
