Nombre,Símbolo,Compra,Precio comp,Precio Vent,Venta,Precio,Apertura,Var %,Var Abs,Volumen,Efectivo,Operaciones,Máximo,Mínimo,Fecha
"MONTESCO ""B""",MTC.B,"388,00","180,00","250,00","33,00","160,00","160,00","0,00","0,00","28,00","5.040,00","2,00","180,00","180,00",2026-01-08
"MONTESCO ""B""",MTC.B,"757,00","165,00","250,00","33,00","160,00","160,00","0,00","0,00","119,00","19.635,00","5,00","0,00","0,00",2026-01-13
"MONTESCO ""B""",MTC.B,"168,00","115,00","175,00","38,00","160,00","160,00","0,00","0,00","106,00","16.960,00","4,00","160,00","160,00",2026-01-15
"MONTESCO ""B""",MTC.B,"182,00","145,00","159,00","1.549,00","160,00","160,00","0,00","0,00","321,00","51.172,60","19,00","160,00","159,00",2026-01-16
"MONTESCO ""B""",MTC.B,"1.328,00","160,00","170,00","76,00","160,00","160,00","0,00","0,00","46,00","7.520,00","8,00","170,00","160,00",2026-01-20
"MONTESCO ""B""",MTC.B,"169,00","145,00","159,98","1.656,00","160,00","160,00","0,00","0,00","68,00","11.172,30","13,00","167,90","160,00",2026-01-21
"MONTESCO ""B""",MTC.B,"1.470,00","160,00","175,00","142,00","160,00","160,00","0,00","0,00","246,00","39.735,00","9,00","175,00","160,00",2026-01-22
"MONTESCO ""B""",MTC.B,"250,00","144,03","159,00","147,00","160,00","160,00","0,00","0,00","113,00","18.109,00","18,00","165,00","159,00",2026-01-23
"MONTESCO ""B""",MTC.B,"262,00","145,00","159,99","556,00","160,00","160,00","0,00","0,00","51,00","8.160,00","11,00","160,00","160,00",2026-01-26
"MONTESCO ""B""",MTC.B,"442,00","145,00","160,00","558,00","160,00","160,00","0,00","0,00","64,00","10.300,00","9,00","165,00","160,00",2026-01-27
"MONTESCO ""B""",MTC.B,"198,00","145,15","160,00","471,00","155,00","160,00","-3,13","-5,00","1.198,00","186.470,42","10,00","160,00","145,03",2026-01-28
"MONTESCO ""B""",MTC.B,"236,00","145,00","159,99","962,00","155,00","155,00","0,00","0,00","112,00","17.918,96","11,00","160,00","159,99",2026-01-29
"MONTESCO ""B""",MTC.B,"1.180,00","144,50","155,00","794,00","155,00","155,00","0,00","0,00","358,00","56.192,12","9,00","159,99","144,50",2026-01-30
"MONTESCO ""B""",MTC.B,"91,00","155,00","159,50","26,00","159,00","155,00","2,58","4,00","1.087,00","172.836,00","13,00","159,50","155,00",2026-02-02
"MONTESCO ""B""",MTC.B,"64,00","150,00","155,00","14,00","159,00","159,00","0,00","0,00","212,00","33.554,50","16,00","170,00","155,00",2026-02-03
"MONTESCO ""B""",MTC.B,"1.638,00","170,00","174,00","44,00","174,00","159,00","9,43","15,00","4.869,00","821.511,00","12,00","174,00","174,00",2026-02-04
"MONTESCO ""B""",MTC.B,"440,00","185,50","0,00","0,00","174,00","174,00","0,00","0,00","149,00","27.627,10","6,00","185,51","180,00",2026-02-05
"MONTESCO ""B""",MTC.B,"3.480,00","190,00","0,00","0,00","189,90","174,00","9,14","15,90","1.010,00","191.755,00","11,00","189,90","185,50",2026-02-06
"MONTESCO ""B""",MTC.B,"667,00","200,00","204,90","1.188,00","205,00","189,90","7,95","15,10","2.812,00","576.459,90","18,00","205,00","204,90",2026-02-09
"MONTESCO ""B""",MTC.B,"385,00","200,00","205,00","1.435,00","205,00","205,00","0,00","0,00","420,00","86.199,00","20,00","244,90","200,00",2026-02-10
"MONTESCO ""B""",MTC.B,"196,00","188,00","205,00","169,00","205,00","205,00","0,00","0,00","173,00","35.464,00","15,00","205,00","204,99",2026-02-11
"MONTESCO ""B""",MTC.B,"255,00","200,00","205,00","1.244,00","205,00","205,00","0,00","0,00","190,00","38.950,00","16,00","205,00","205,00",2026-02-12
"MONTESCO ""B""",MTC.B,"168,00","195,00","205,00","137,00","205,00","205,00","0,00","0,00","59.212,00","12.138.460,00","25,00","205,00","205,00",2026-02-13
"MONTESCO ""B""",MTC.B,"293,00","205,00","219,90","906,00","205,00","205,00","0,00","0,00","242,00","50.910,60","19,00","219,90","180,00",2026-02-18
"MONTESCO ""B""",MTC.B,"268,00","210,00","215,00","1.977,00","219,90","205,00","7,27","14,90","1.081,00","237.687,40","17,00","219,90","215,00",2026-02-19
