Nombre,Símbolo,Compra,Precio comp,Precio Vent,Venta,Precio,Apertura,Var %,Var Abs,Volumen,Efectivo,Operaciones,Máximo,Mínimo,Fecha
MERCANTIL S.(B),MVZ.B,"49,00","5.000,00","0,00","0,00","5.000,00","3.650,00","36,99","1.350,00","11,00","55.000,00","2,00","5.000,00","5.000,00",2026-01-08
MERCANTIL S.(B),MVZ.B,"87,00","5.999,00","0,00","0,00","5.999,00","5.000,00","19,98","999,00","5.054,00","30.323.946,00","10,00","5.999,00","5.999,00",2026-01-09
MERCANTIL S.(B),MVZ.B,"94,00","5.300,00","5.499,00","588,00","5.499,00","5.999,00","-8,33","-500,00","60,00","332.340,00","10,00","5.999,00","5.498,00",2026-01-13
MERCANTIL S.(B),MVZ.B,"30,00","3.650,00","5.500,00","3.568,00","5.500,00","5.499,00","0,02","1,00","161,00","928.440,00","19,00","6.045,00","5.500,00",2026-01-14
MERCANTIL S.(B),MVZ.B,"40,00","4.200,00","5.490,00","374,00","5.500,00","5.500,00","0,00","0,00","18,00","96.000,00","5,00","5.500,00","5.000,00",2026-01-15
MERCANTIL S.(B),MVZ.B,"21,00","4.951,00","4.955,00","525,00","5.100,00","5.500,00","-7,27","-400,00","443,00","2.364.473,99","14,00","5.500,00","5.000,00",2026-01-16
MERCANTIL S.(B),MVZ.B,"21,00","4.591,00","4.600,00","3.620,00","4.799,00","5.100,00","-5,90","-301,00","237,00","1.160.389,00","12,00","5.100,00","4.591,00",2026-01-20
MERCANTIL S.(B),MVZ.B,"21,00","4.320,00","4.350,00","3.451,00","4.448,00","4.799,00","-7,31","-351,00","157,00","696.360,50","12,00","4.449,00","4.325,00",2026-01-21
MERCANTIL S.(B),MVZ.B,"20,00","1.500,00","4.004,00","236,00","4.448,00","4.448,00","0,00","0,00","27,00","112.256,94","8,00","4.449,00","4.003,99",2026-01-22
MERCANTIL S.(B),MVZ.B,"0,00","0,00","4.004,00","3.552,00","4.005,00","4.448,00","-9,96","-443,00","125,00","500.608,87","16,00","4.005,00","4.004,00",2026-01-23
MERCANTIL S.(B),MVZ.B,"2,00","3.605,00","4.000,00","3.100,00","4.000,00","4.005,00","-0,12","-5,00","65,00","260.065,00","5,00","4.005,00","4.000,00",2026-01-26
MERCANTIL S.(B),MVZ.B,"410,00","3.605,00","4.000,00","964,00","3.800,00","4.000,00","-5,00","-200,00","614,00","2.410.400,00","17,00","4.000,00","3.800,00",2026-01-27
MERCANTIL S.(B),MVZ.B,"0,00","0,00","3.800,00","605,00","3.459,00","3.800,00","-8,97","-341,00","1.751,00","6.076.620,00","16,00","3.950,00","3.459,00",2026-01-28
MERCANTIL S.(B),MVZ.B,"21,00","3.800,00","0,00","0,00","3.800,00","3.459,00","9,86","341,00","327,00","1.206.273,00","11,00","3.804,00","3.459,00",2026-01-29
MERCANTIL S.(B),MVZ.B,"1.183,00","3.900,00","4.000,00","92,00","4.000,00","3.800,00","5,26","200,00","155,00","570.125,00","15,00","4.100,00","3.825,00",2026-01-30
MERCANTIL S.(B),MVZ.B,"43,00","4.179,24","0,00","0,00","4.179,24","4.000,00","4,48","179,24","181,00","731.367,32","16,00","4.179,24","4.179,24",2026-02-02
MERCANTIL S.(B),MVZ.B,"278,00","4.590,00","0,00","0,00","4.590,00","4.179,24","9,83","410,76","732,00","3.156.869,00","25,00","4.590,00","4.005,00",2026-02-03
MERCANTIL S.(B),MVZ.B,"214,00","5.049,00","0,00","0,00","5.048,00","4.590,00","9,98","458,00","941,00","4.719.690,00","11,00","5.048,00","5.048,00",2026-02-04
MERCANTIL S.(B),MVZ.B,"26,00","5.100,00","5.400,00","696,00","5.400,00","5.048,00","6,97","352,00","1.382,00","7.436.195,00","16,00","5.400,00","5.395,00",2026-02-05
MERCANTIL S.(B),MVZ.B,"1.023,00","5.400,00","5.900,00","728,00","5.700,01","5.400,00","5,56","300,01","132,00","744.600,05","17,00","5.900,00","5.700,00",2026-02-06
MERCANTIL S.(B),MVZ.B,"11,00","5.900,00","6.154,00","1.557,00","6.269,00","5.700,01","9,98","568,99","96,00","568.767,00","7,00","6.280,00","6.000,00",2026-02-09
MERCANTIL S.(B),MVZ.B,"36,00","5.550,00","6.180,00","742,00","5.550,00","6.269,00","-11,47","-719,00","348,00","2.022.050,00","12,00","6.200,00","5.550,00",2026-02-10
MERCANTIL S.(B),MVZ.B,"13,00","5.570,00","5.999,99","366,00","6.000,00","5.550,00","8,11","450,00","427,00","2.561.900,00","9,00","6.000,00","6.000,00",2026-02-11
MERCANTIL S.(B),MVZ.B,"15,00","5.810,00","5.998,00","222,00","6.000,00","6.000,00","0,00","0,00","68,00","401.158,69","6,00","5.999,99","5.999,00",2026-02-12
MERCANTIL S.(B),MVZ.B,"374,00","5.925,00","6.250,00","2.147,00","5.999,00","6.000,00","-0,02","-1,00","95,00","574.671,00","21,00","6.300,00","5.830,00",2026-02-13
MERCANTIL S.(B),MVZ.B,"27,00","6.000,00","7.250,00","5,00","6.000,00","5.999,00","0,02","1,00","487,00","2.936.397,00","10,00","6.600,00","5.999,00",2026-02-18
MERCANTIL S.(B),MVZ.B,"233,00","6.011,00","6.300,00","1.729,00","6.300,00","6.000,00","5,00","300,00","758,00","4.715.358,00","13,00","6.300,00","6.298,00",2026-02-19
MERCANTIL S.(B),MVZ.B,"111,00","6.300,00","7.000,00","1.102,00","6.850,00","6.300,00","8,73","550,00","2.107,00","13.015.690,00","21,00","7.490,00","6.850,00",2026-02-20
MERCANTIL S.(B),MVZ.B,"603,00","6.310,00","6.900,00","1.116,00","6.700,00","6.850,00","-2,19","-150,00","71,00","491.644,00","11,00","7.499,00","5.800,00",2026-02-23
MERCANTIL S.(B),MVZ.B,"520,00","6.800,00","7.200,00","1.397,00","7.200,00","6.700,00","7,46","500,00","98,00","711.390,00","19,00","7.500,00","6.900,00",2026-02-24
MERCANTIL S.(B),MVZ.B,"557,00","7.000,00","7.199,99","1.574,00","7.199,98","7.200,00","0,00","-0,02","47,00","334.499,66","9,00","7.200,00","6.810,00",2026-02-25
MERCANTIL S.(B),MVZ.B,"547,00","7.000,00","7.198,00","1.512,00","7.198,00","7.199,98","-0,03","-1,98","168,00","1.211.226,00","4,00","7.500,00","7.198,00",2026-02-26
MERCANTIL S.(B),MVZ.B,"531,00","7.200,00","7.290,00","1.231,00","7.100,00","7.198,00","-1,36","-98,00","54,00","385.110,00","3,00","7.290,00","7.100,00",2026-02-27
MERCANTIL S.(B),MVZ.B,"5,00","7.000,00","8.450,00","37,00","7.000,00","7.100,00","-1,41","-100,00","46,00","334.350,00","14,00","8.500,00","7.000,00",2026-03-02
MERCANTIL S.(B),MVZ.B,"9,00","7.050,00","7.450,00","809,00","7.450,00","7.000,00","6,43","450,00","286,00","2.276.662,00","10,00","8.300,00","7.450,00",2026-03-03
MERCANTIL S.(B),MVZ.B,"385,00","7.200,00","7.440,00","2.831,00","7.445,00","7.450,00","-0,07","-5,00","32,00","238.296,00","10,00","7.449,00","7.440,00",2026-03-04
MERCANTIL S.(B),MVZ.B,"1.394,00","6.700,00","7.299,00","2.475,00","7.000,00","7.445,00","-5,98","-445,00","256,00","1.821.750,00","15,00","7.500,00","6.500,00",2026-03-05
MERCANTIL S.(B),MVZ.B,"1.016,00","6.800,00","7.270,00","2.889,00","7.000,00","7.000,00","0,00","0,00","76,00","545.410,00","17,00","7.275,00","6.800,00",2026-03-06
MERCANTIL S.(B),MVZ.B,"1.706,00","7.000,00","7.500,00","816,00","7.490,00","7.000,00","7,00","490,00","283,00","1.947.274,00","15,00","7.999,00","6.650,00",2026-03-09
