Nombre,Símbolo,Compra,Precio comp,Precio Vent,Venta,Precio,Apertura,Var %,Var Abs,Volumen,Efectivo,Operaciones,Máximo,Mínimo,Fecha
PROAGRO,PGR,"830,00","141,00","0,00","0,00","141,00","135,00","4,44","6,00","697,00","98.450,01","25,00","142,00","140,00",2026-01-08
PROAGRO,PGR,"547,00","160,00","167,00","89,00","167,00","141,00","18,44","26,00","4.257,00","694.923,00","60,00","167,00","140,00",2026-01-09
PROAGRO,PGR,"504,00","155,00","159,00","4.257,00","159,00","167,00","-4,79","-8,00","3.716,00","603.040,00","58,00","167,00","155,00",2026-01-13
PROAGRO,PGR,"650,00","148,00","153,90","1.140,00","155,00","159,00","-2,52","-4,00","2.449,00","385.231,30","51,00","160,00","153,90",2026-01-14
PROAGRO,PGR,"750,00","145,00","154,00","2.959,00","150,00","155,00","-3,23","-5,00","3.341,00","505.807,00","32,00","155,00","145,00",2026-01-15
PROAGRO,PGR,"610,00","135,00","150,00","2.859,00","150,00","150,00","0,00","0,00","3.404,00","492.762,00","83,00","154,00","140,00",2026-01-16
PROAGRO,PGR,"25,00","135,00","136,00","4.154,00","135,95","150,00","-9,37","-14,05","1.610,00","222.575,65","59,00","150,00","135,95",2026-01-20
PROAGRO,PGR,"500,00","57,00","124,97","6.708,00","136,00","136,00","0,00","0,00","1.102,00","144.158,85","47,00","135,00","124,99",2026-01-21
PROAGRO,PGR,"500,00","57,00","122,99","2.283,00","136,00","136,00","0,00","0,00","1.328,00","170.652,00","53,00","136,00","123,00",2026-01-22
PROAGRO,PGR,"4,00","122,43","136,00","6.458,00","135,00","136,00","-0,74","-1,00","12.238,00","1.579.799,78","85,00","136,00","122,43",2026-01-23
PROAGRO,PGR,"33,00","121,99","122,00","4.655,00","135,00","135,00","0,00","0,00","567,00","72.230,00","54,00","136,00","122,00",2026-01-26
PROAGRO,PGR,"5,00","122,00","129,00","18.755,00","123,00","135,00","-8,89","-12,00","1.668,00","211.394,00","37,00","133,00","123,00",2026-01-27
PROAGRO,PGR,"75,00","118,50","123,00","3.723,00","123,00","123,00","0,00","0,00","449,00","56.036,97","36,00","129,00","121,51",2026-01-28
PROAGRO,PGR,"165,00","115,00","123,00","12.789,00","123,00","123,00","0,00","0,00","246,00","30.813,00","30,00","133,00","123,00",2026-01-29
