Nombre,Símbolo,Compra,Precio comp,Precio Vent,Venta,Precio,Apertura,Var %,Var Abs,Volumen,Efectivo,Operaciones,Máximo,Mínimo,Fecha
PROTINAL,PTN,"606,00","408,00","0,00","0,00","419,00","407,00","2,95","12,00","285,00","119.414,80","11,00","419,00","418,99",2026-01-08
PROTINAL,PTN,"1.294,00","450,00","502,75","1.074,00","502,75","419,00","19,99","83,75","622,00","312.649,75","35,00","502,75","502,00",2026-01-09
PROTINAL,PTN,"497,00","502,75","549,00","1.128,00","549,00","502,75","9,20","46,25","721,00","378.538,25","35,00","552,00","502,75",2026-01-13
PROTINAL,PTN,"483,00","550,00","575,00","1.115,00","549,00","549,00","0,00","0,00","240,00","132.078,46","30,00","579,99","540,00",2026-01-14
PROTINAL,PTN,"200,00","185,00","540,00","3.122,00","549,00","549,00","0,00","0,00","1.059,00","579.354,97","16,00","555,00","525,00",2026-01-15
PROTINAL,PTN,"200,00","185,00","541,00","904,00","541,00","549,00","-1,46","-8,00","468,00","247.062,39","33,00","543,00","495,00",2026-01-16
PROTINAL,PTN,"200,00","185,00","487,00","2.402,00","536,99","541,00","-0,74","-4,01","549,00","284.066,19","41,00","540,00","490,00",2026-01-20
PROTINAL,PTN,"204,00","485,00","535,00","1.736,00","535,00","536,99","-0,37","-1,99","329,00","175.847,82","21,00","540,00","520,00",2026-01-21
PROTINAL,PTN,"211,00","482,00","520,00","5.623,00","535,00","535,00","0,00","0,00","329,00","167.532,00","26,00","534,00","482,00",2026-01-22
PROTINAL,PTN,"55,00","481,95","481,99","2.174,00","481,95","535,00","-9,92","-53,05","5.486,00","2.644.781,48","37,00","520,00","481,51",2026-01-23
PROTINAL,PTN,"0,00","0,00","480,00","2.512,00","481,95","481,95","0,00","0,00","119,00","57.456,35","27,00","525,00","480,00",2026-01-26
PROTINAL,PTN,"14,00","450,00","480,00","3.949,00","481,95","481,95","0,00","0,00","309,00","149.921,85","22,00","525,00","460,00",2026-01-27
PROTINAL,PTN,"4,00","435,00","478,99","8.990,00","481,95","481,95","0,00","0,00","116,00","55.789,08","18,00","520,00","478,99",2026-01-28
PROTINAL,PTN,"0,00","0,00","433,99","8.765,00","434,00","481,95","-9,95","-47,95","441,00","192.263,13","26,00","480,00","433,86",2026-01-29
