Nombre,Símbolo,Compra,Precio comp,Precio Vent,Venta,Precio,Apertura,Var %,Var Abs,Volumen,Efectivo,Operaciones,Máximo,Mínimo,Fecha
"SIVENSA, S.A.",SVS,"478,00","239,96","300,00","50,00","250,00","199,97","25,02","50,03","2.000,00","483.082,60","10,00","250,00","239,96",2026-01-08
"SIVENSA, S.A.",SVS,"49,00","300,01","0,00","0,00","300,01","250,00","20,00","50,01","50,00","15.000,50","2,00","300,01","300,01",2026-01-09
"SIVENSA, S.A.",SVS,"1.661,00","315,00","0,00","0,00","310,01","300,01","3,33","10,00","967,00","296.882,55","30,00","315,00","301,00",2026-01-13
"SIVENSA, S.A.",SVS,"548,00","330,00","0,00","0,00","331,00","310,01","6,77","20,99","994,00","330.120,10","12,00","340,00","317,01",2026-01-14
"SIVENSA, S.A.",SVS,"400,00","331,00","350,00","6,00","350,00","331,00","5,74","19,00","1.300,00","440.713,04","33,00","350,00","331,00",2026-01-15
"SIVENSA, S.A.",SVS,"969,00","350,00","365,00","643,00","365,00","350,00","4,29","15,00","3.704,00","1.342.558,65","52,00","365,00","350,00",2026-01-16
"SIVENSA, S.A.",SVS,"480,00","381,00","390,00","5.554,00","390,00","365,00","6,85","25,00","1.096,00","423.580,00","50,00","395,00","380,00",2026-01-20
"SIVENSA, S.A.",SVS,"724,00","370,00","385,00","831,00","385,00","390,00","-1,28","-5,00","1.635,00","633.101,00","63,00","390,00","370,00",2026-01-21
"SIVENSA, S.A.",SVS,"200,00","380,00","385,00","186,00","385,00","385,00","0,00","0,00","2.380,00","912.817,77","52,00","400,00","351,00",2026-01-22
"SIVENSA, S.A.",SVS,"1.297,00","410,05","0,00","0,00","410,05","385,00","6,51","25,05","1.387,00","580.410,10","40,00","420,00","400,00",2026-01-23
"SIVENSA, S.A.",SVS,"973,00","430,00","0,00","0,00","427,00","410,05","4,13","16,95","561,00","239.598,00","29,00","430,00","419,00",2026-01-26
"SIVENSA, S.A.",SVS,"1.118,00","427,00","435,00","475,00","427,00","427,00","0,00","0,00","7.141,00","3.067.810,00","79,00","455,00","420,00",2026-01-27
"SIVENSA, S.A.",SVS,"2.075,00","420,54","426,80","785,00","426,90","427,00","-0,02","-0,10","1.488,00","634.946,90","41,00","435,00","426,80",2026-01-28
"SIVENSA, S.A.",SVS,"1.392,00","438,54","468,00","222,00","467,99","426,90","9,63","41,09","2.576,00","1.200.829,16","19,00","468,50","440,00",2026-01-29
"SIVENSA, S.A.",SVS,"251,00","495,00","509,80","10,00","495,00","467,99","5,77","27,01","8.747,00","4.357.606,97","31,00","500,00","467,99",2026-01-30
"SIVENSA, S.A.",SVS,"8.296,00","544,01","0,00","0,00","544,00","495,00","9,90","49,00","9.832,00","5.300.862,75","20,00","544,00","544,00",2026-02-02
"SIVENSA, S.A.",SVS,"885,00","620,00","0,00","0,00","615,00","544,00","13,05","71,00","3.229,00","1.923.578,02","49,00","615,00","587,00",2026-02-03
"SIVENSA, S.A.",SVS,"1.937,00","695,00","0,00","0,00","695,00","615,00","13,01","80,00","2.165,00","1.463.318,17","48,00","695,00","620,00",2026-02-04
"SIVENSA, S.A.",SVS,"2.660,00","761,00","770,00","410,00","760,01","695,00","9,35","65,01","6.861,00","5.143.494,14","16,00","762,00","730,00",2026-02-05
"SIVENSA, S.A.",SVS,"2.026,00","836,00","840,00","1.272,00","840,00","760,01","10,52","79,99","4.196,00","3.493.219,02","51,00","840,00","830,00",2026-02-06
"SIVENSA, S.A.",SVS,"294,00","861,50","940,00","31,00","910,00","840,00","8,33","70,00","11.740,00","10.426.469,95","74,00","950,00","840,00",2026-02-09
"SIVENSA, S.A.",SVS,"2.091,00","905,00","1.000,00","500,00","910,00","910,00","0,00","0,00","3.624,00","3.287.065,50","64,00","1.000,00","750,00",2026-02-10
"SIVENSA, S.A.",SVS,"1.894,00","960,00","985,00","2.687,00","985,00","910,00","8,24","75,00","1.818,00","1.796.745,00","31,00","1.000,00","925,00",2026-02-11
"SIVENSA, S.A.",SVS,"1.053,00","1.000,00","1.020,00","1.393,00","1.000,00","985,00","1,52","15,00","2.505,00","2.531.105,00","31,00","1.050,00","985,00",2026-02-12
"SIVENSA, S.A.",SVS,"2.547,00","1.035,00","1.100,00","20,00","1.099,00","1.000,00","9,90","99,00","2.280,00","2.368.471,00","58,00","1.099,00","1.000,00",2026-02-13
"SIVENSA, S.A.",SVS,"3.664,00","1.151,00","1.230,00","667,00","1.230,00","1.099,00","11,92","131,00","4.245,00","4.929.327,82","63,00","1.308,51","1.099,00",2026-02-18
"SIVENSA, S.A.",SVS,"2.490,00","1.300,00","1.370,00","1.077,00","1.350,00","1.230,00","9,76","120,00","1.900,00","2.502.687,83","52,00","1.400,00","985,00",2026-02-19
"SIVENSA, S.A.",SVS,"5.139,00","1.310,00","1.340,00","4.948,00","1.340,00","1.350,00","-0,74","-10,00","3.280,00","4.322.859,86","56,00","1.360,00","1.085,00",2026-02-20
