Nombre,Símbolo,Compra,Precio comp,Precio Vent,Venta,Precio,Apertura,Var %,Var Abs,Volumen,Efectivo,Operaciones,Máximo,Mínimo,Fecha
CANTV CLASE (D),TDV.D,"647,00","638,01","0,00","0,00","638,00","535,00","19,25","103,00","7.161,00","4.402.222,00","34,00","638,00","535,00",2026-01-08
CANTV CLASE (D),TDV.D,"448,00","650,00","695,95","4.599,00","695,95","638,00","9,08","57,95","8.001,00","5.588.124,75","68,00","703,00","690,00",2026-01-09
CANTV CLASE (D),TDV.D,"3,00","600,00","629,00","5.618,00","630,00","695,95","-9,48","-65,95","6.207,00","3.944.585,00","60,00","650,00","629,00",2026-01-13
CANTV CLASE (D),TDV.D,"0,00","0,00","614,00","2.054,00","625,00","630,00","-0,79","-5,00","4.230,00","2.668.137,14","69,00","649,00","614,00",2026-01-14
CANTV CLASE (D),TDV.D,"0,00","0,00","565,00","4.999,00","612,00","625,00","-2,08","-13,00","5.927,00","3.443.177,80","28,00","645,00","565,00",2026-01-15
CANTV CLASE (D),TDV.D,"105,00","565,00","600,00","6.485,00","599,99","612,00","-1,96","-12,01","504,00","303.063,40","61,00","620,00","565,00",2026-01-16
CANTV CLASE (D),TDV.D,"0,00","0,00","580,00","240,00","540,00","599,99","-10,00","-59,99","555,00","303.535,00","4,00","599,00","540,00",2026-01-20
CANTV CLASE (D),TDV.D,"1.004,00","486,01","498,00","10.911,00","486,01","540,00","-10,00","-53,99","5.558,00","2.810.553,92","78,00","539,90","486,01",2026-01-21
CANTV CLASE (D),TDV.D,"0,00","0,00","440,00","11.739,00","440,00","486,01","-9,47","-46,01","1.018,00","453.782,04","49,00","486,01","437,50",2026-01-22
CANTV CLASE (D),TDV.D,"802,00","410,00","439,99","12.098,00","410,00","440,00","-6,82","-30,00","2.871,00","1.231.854,73","51,00","463,98","400,00",2026-01-23
CANTV CLASE (D),TDV.D,"4.509,00","400,00","404,98","26.415,00","400,00","410,00","-2,44","-10,00","12.076,00","4.605.452,22","60,00","430,00","381,00",2026-01-26
CANTV CLASE (D),TDV.D,"2.988,00","400,00","404,00","5.091,00","400,00","400,00","0,00","0,00","22.830,00","8.631.352,75","67,00","404,98","368,00",2026-01-27
CANTV CLASE (D),TDV.D,"3.918,00","387,00","390,00","6.327,00","400,00","400,00","0,00","0,00","3.258,00","1.297.505,40","54,00","437,99","390,00",2026-01-28
CANTV CLASE (D),TDV.D,"8.353,00","375,00","388,00","6.305,00","388,00","400,00","-3,00","-12,00","8.780,00","3.324.017,50","57,00","400,00","375,00",2026-01-29
CANTV CLASE (D),TDV.D,"3.221,00","426,00","0,00","0,00","426,00","388,00","9,79","38,00","13.879,00","5.778.605,50","40,00","426,50","399,99",2026-01-30
CANTV CLASE (D),TDV.D,"15.173,00","440,00","464,00","1.755,00","464,00","426,00","8,92","38,00","27.465,00","12.689.468,12","61,00","465,00","427,00",2026-02-02
CANTV CLASE (D),TDV.D,"3.824,00","510,40","569,00","2.057,00","510,00","464,00","9,91","46,00","16.428,00","8.245.755,00","17,00","510,00","475,00",2026-02-03
CANTV CLASE (D),TDV.D,"5.462,00","615,00","720,00","306,00","615,00","510,00","20,59","105,00","28.240,00","16.438.868,20","43,00","617,00","512,00",2026-02-04
CANTV CLASE (D),TDV.D,"8.404,00","640,00","676,00","12.825,00","670,00","615,00","8,94","55,00","21.380,00","13.527.733,78","58,00","676,00","630,00",2026-02-05
CANTV CLASE (D),TDV.D,"4.179,00","735,00","740,00","12.813,00","785,00","670,00","17,16","115,00","30.202,00","22.146.463,32","74,00","785,00","690,00",2026-02-06
CANTV CLASE (D),TDV.D,"10.005,00","737,00","750,00","10.548,00","750,00","785,00","-4,46","-35,00","6.593,00","5.232.899,78","102,00","850,00","700,00",2026-02-09
CANTV CLASE (D),TDV.D,"2.473,00","601,00","638,99","18.968,00","639,00","750,00","-14,80","-111,00","8.153,00","5.056.613,82","68,00","720,00","601,00",2026-02-10
CANTV CLASE (D),TDV.D,"2.772,00","640,00","650,00","18.578,00","645,00","639,00","0,94","6,00","3.133,00","1.876.323,00","54,00","715,00","575,00",2026-02-11
CANTV CLASE (D),TDV.D,"16.342,00","615,00","674,99","17.101,00","650,00","645,00","0,78","5,00","7.840,00","5.044.017,45","62,00","700,00","600,00",2026-02-12
CANTV CLASE (D),TDV.D,"10.310,00","655,00","659,99","12.624,00","659,99","650,00","1,54","9,99","6.389,00","4.064.976,24","64,00","674,99","650,00",2026-02-13
CANTV CLASE (D),TDV.D,"10.347,00","659,99","685,00","3.555,00","680,00","659,99","3,03","20,01","1.291,00","897.654,91","77,00","775,00","600,00",2026-02-18
CANTV CLASE (D),TDV.D,"8.182,00","645,00","680,00","5.167,00","680,00","680,00","0,00","0,00","3.873,00","2.508.354,18","67,00","689,00","625,00",2026-02-19
CANTV CLASE (D),TDV.D,"4.144,00","640,00","680,00","9.775,00","679,99","680,00","0,00","-0,01","9.808,00","6.658.129,68","74,00","800,00","640,00",2026-02-20
CANTV CLASE (D),TDV.D,"14.010,00","670,00","685,00","3.702,00","660,00","679,99","-2,94","-19,99","4.927,00","3.290.754,82","58,00","794,80","640,00",2026-02-23
CANTV CLASE (D),TDV.D,"11.981,00","686,00","700,00","9.869,00","700,00","660,00","6,06","40,00","5.195,00","3.658.459,00","69,00","745,00","640,00",2026-02-24
CANTV CLASE (D),TDV.D,"3.610,00","700,00","710,00","5.683,00","720,00","700,00","2,86","20,00","7.056,00","5.070.886,48","64,00","735,00","700,00",2026-02-25
CANTV CLASE (D),TDV.D,"5.941,00","699,00","715,00","3.948,00","715,00","720,00","-0,69","-5,00","12.129,00","8.480.455,65","56,00","730,00","699,00",2026-02-26
CANTV CLASE (D),TDV.D,"10.867,00","700,01","715,00","4.803,00","705,00","715,00","-1,40","-10,00","3.294,00","2.360.155,50","58,00","730,00","705,00",2026-02-27
CANTV CLASE (D),TDV.D,"14.432,00","700,00","770,00","6.379,00","770,00","705,00","9,22","65,00","10.449,00","7.754.464,43","92,00","829,99","705,00",2026-03-02
CANTV CLASE (D),TDV.D,"4.943,00","790,00","800,00","4.766,00","808,00","770,00","4,94","38,00","2.169,00","1.704.105,00","78,00","820,00","700,00",2026-03-03
CANTV CLASE (D),TDV.D,"7.528,00","808,00","840,00","3.977,00","825,00","808,00","2,10","17,00","5.945,00","4.681.969,10","78,00","955,00","800,00",2026-03-04
CANTV CLASE (D),TDV.D,"13.535,00","800,05","849,95","4.686,00","849,95","825,00","3,02","24,95","3.220,00","2.715.470,40","56,00","948,00","800,00",2026-03-05
CANTV CLASE (D),TDV.D,"901,00","850,00","869,00","2.149,00","850,00","849,95","0,01","0,05","1.938,00","1.627.793,78","64,00","900,00","849,95",2026-03-06
CANTV CLASE (D),TDV.D,"4.786,00","864,00","869,99","9.286,00","865,00","850,00","1,76","15,00","7.013,00","6.010.040,06","69,00","895,00","806,01",2026-03-09
CANTV CLASE (D),TDV.D,"18.055,00","825,00","860,00","8.697,00","860,00","865,00","-0,58","-5,00","5.112,00","3.986.840,55","50,00","867,00","785,00",2026-03-10
CANTV CLASE (D),TDV.D,"13.362,00","840,00","850,00","4.954,00","850,00","860,00","-1,16","-10,00","2.125,00","1.809.349,85","43,00","869,99","850,00",2026-03-11
CANTV CLASE (D),TDV.D,"1.564,00","840,00","849,00","12.176,00","855,90","850,00","0,69","5,90","795,00","679.305,30","36,00","870,00","849,00",2026-03-12
CANTV CLASE (D),TDV.D,"3.554,00","845,00","850,00","4.363,00","850,54","855,90","-0,63","-5,36","476,00","405.881,56","50,00","855,00","845,00",2026-03-13
CANTV CLASE (D),TDV.D,"5.150,00","810,00","846,00","5.323,00","846,95","850,54","-0,42","-3,59","2.009,00","1.624.934,25","74,00","849,90","782,00",2026-03-16
CANTV CLASE (D),TDV.D,"6.512,00","806,00","830,00","639,00","830,00","846,95","-2,00","-16,95","3.531,00","2.925.462,34","71,00","843,00","805,00",2026-03-17
CANTV CLASE (D),TDV.D,"5.009,00","839,90","869,97","3.171,00","850,00","830,00","2,41","20,00","6.952,00","5.866.806,08","60,00","985,00","830,00",2026-03-18
CANTV CLASE (D),TDV.D,"5.635,00","865,00","878,55","2.215,00","865,00","850,00","1,76","15,00","14.210,00","12.806.179,65","75,00","995,00","848,00",2026-03-20
CANTV CLASE (D),TDV.D,"9.345,00","865,00","880,00","2.093,00","880,00","865,00","1,73","15,00","2.660,00","2.346.280,79","70,00","999,99","865,00",2026-03-23
CANTV CLASE (D),TDV.D,"12.391,00","851,00","899,00","4.056,00","898,00","880,00","2,05","18,00","13.915,00","11.905.750,80","78,00","900,00","849,95",2026-03-24
CANTV CLASE (D),TDV.D,"4.398,00","855,01","875,00","3.482,00","875,00","898,00","-2,56","-23,00","5.091,00","4.547.965,67","66,00","989,00","855,00",2026-03-25
CANTV CLASE (D),TDV.D,"6.781,00","800,01","870,00","6.961,00","850,01","875,00","-2,86","-24,99","708,00","610.428,95","35,00","1.000,00","800,01",2026-03-26
CANTV CLASE (D),TDV.D,"1.309,00","811,00","837,50","3.539,00","837,50","850,01","-1,47","-12,51","309,00","258.502,05","25,00","873,00","800,01",2026-03-27
CANTV CLASE (D),TDV.D,"189,00","835,00","837,00","4.132,00","837,00","837,50","-0,06","-0,50","507,00","431.934,79","41,00","990,00","811,00",2026-03-30
CANTV CLASE (D),TDV.D,"1.238,00","800,00","819,00","7.528,00","801,00","837,00","-4,30","-36,00","564,00","460.262,00","42,00","835,00","750,00",2026-03-31
CANTV CLASE (D),TDV.D,"577,00","850,00","865,00","9.136,00","865,00","801,00","7,99","64,00","1.142,00","977.874,00","44,00","910,00","819,00",2026-04-01
CANTV CLASE (D),TDV.D,"3.653,00","805,00","810,00","3.164,00","810,00","865,00","-6,36","-55,00","832,00","712.224,52","52,00","1.000,00","800,01",2026-04-06
