Nombre,Símbolo,Compra,Precio comp,Precio Vent,Venta,Precio,Apertura,Var %,Var Abs,Volumen,Efectivo,Operaciones,Máximo,Mínimo,Fecha
T. PALO GRANDE,TPG,"20.231,00","10,50","11,00","22.913,00","11,50","10,00","15,00","1,50","35.209,00","399.786,00","145,00","11,50","10,00",2026-01-08
T. PALO GRANDE,TPG,"56.083,00","12,25","13,00","25.333,00","13,00","11,50","13,04","1,50","80.987,00","1.090.744,00","167,00","13,50","13,00",2026-01-09
T. PALO GRANDE,TPG,"5.900,00","12,00","13,00","9.843,00","12,50","13,00","-3,85","-0,50","34.656,00","446.003,00","102,00","13,50","12,50",2026-01-13
T. PALO GRANDE,TPG,"3.105,00","13,00","13,50","10.970,00","13,50","12,50","8,00","1,00","21.845,00","290.489,69","62,00","13,50","12,50",2026-01-14
T. PALO GRANDE,TPG,"29.250,00","12,50","13,48","28.810,00","13,50","13,50","0,00","0,00","4.989,00","66.336,50","41,00","13,50","12,50",2026-01-15
T. PALO GRANDE,TPG,"6.279,00","12,50","12,99","69.656,00","12,60","13,50","-6,67","-0,90","34.789,00","449.656,89","193,00","13,50","12,45",2026-01-16
T. PALO GRANDE,TPG,"5.950,00","11,34","12,25","38.692,00","11,90","12,60","-5,56","-0,70","43.939,00","534.747,77","236,00","12,50","11,50",2026-01-20
T. PALO GRANDE,TPG,"7.544,00","10,75","11,00","23.572,00","11,34","11,90","-4,71","-0,56","24.586,00","282.276,24","154,00","11,90","10,90",2026-01-21
T. PALO GRANDE,TPG,"6.477,00","10,00","10,25","31.117,00","10,21","11,34","-9,96","-1,13","68.428,00","705.876,72","114,00","11,00","10,00",2026-01-22
T. PALO GRANDE,TPG,"1.832,00","9,20","9,48","38.725,00","9,49","10,21","-7,05","-0,72","94.232,00","905.093,84","183,00","10,21","9,20",2026-01-23
